source_text,translated_text
End of the current subscription period,Koniec bieżącego okresu subskrypcji
Beginning of the current subscription period,Początek bieżącego okresu subskrypcji
Days before the current subscription period,Dni przed bieżącym okresem subskrypcji
Submit Generated Invoices,Przesyłanie wygenerowanych faktur
Email Threads on Assigned Document,Wątki e-mail dotyczące przypisanego dokumentu
Get notified when an email is received on any of the documents assigned to you.,Otrzymuj powiadomienia o otrzymaniu wiadomości e-mail dotyczącej dowolnego z przypisanych do Ciebie dokumentów.
Sort Descending,Sortuj malejąco
Sort Ascending,Sortuj rosnąco
Warranty Claim Trends,Trendy dotyczące roszczeń gwarancyjnych
Return Issued,Wydany zwrot
Percentage you are allowed to sell beyond the Blanket Order quantity.,"Procent, który możesz sprzedać poza ilością zamówienia zbiorczego."
Left,Lewo
Billing Address Details,Szczegóły adresu rozliczeniowego
Apply TDS,Zastosuj WRZ
Available Qty at Company,Ilość dostępna w firmie
Available Qty at Target Warehouse,Dostępna ilość w docelowym magazynie
Sales Order Packed Item,Zamówienie sprzedaży Pozycja zapakowana 
Rate With Margin,Stawka z marżą
Finished Good Qty,Gotowy towar Ilość
To be Delivered to Customer,Do dostarczenia do klienta
WIP Composite Asset,Aktywa złożone WIP
Considered In Paid Amount,Uwzględnione w opłaconej kwocie
Payment Amount (Company Currency),Kwota płatności (waluta firmy) 
Point-of-Sale,Punkt-sprzedaży
Don't Reserve Sales Order Qty on Sales Return,Nie rezerwuj ilości zamówienia sprzedaży przy zwrocie sprzedaży
In Words (Export) will be visible once you save the Delivery Note.,In Words (Eksport) będzie widoczny po zapisaniu potwierdzenia dostawy.
In Words will be visible once you save the Delivery Note,Funkcja In Words będzie widoczna po zapisaniu potwierdzenia dostawy.
Mode of Payment,Tryb płatności
Discount Type,Typ rabatu
Discount Date,Data rabatu
Discount,Zniżka
Discounted Amount,Kwota zniżki
Payment Amount (PLN),Kwota płatności (PLN)
Germany,Niemcy
Show Remarks,Pokaż uwagi
Revaluation Journals,Dzienniki przeszacowań
Receivable Account,Rachunek należności
Show Sidebar,Pokaż pasek boczny
Set context before rendering a template. Example:,Ustawia kontekst przed renderowaniem szablonu. Przykład:
Handling of returned goods,Obsługa zwróconych towarów
Inventory Settings,Ustawenia zapasów
"Item Price appears multiple times based on Price List, Supplier/Customer, Currency, Item, Batch, UOM, Qty, and Dates.","Cena pozycji jest wyświetlana wielokrotnie na podstawie cennika, dostawcy/klienta, waluty, pozycji, partii, JM, ilości i daty."
Settlement status,Status ugody
Opening Stock,Otwarcie zapasów
For settlement,Do rozstrzygnięcia
