Znalezione duplikaty:
Wyraz: Add, Tłumaczenia: ['Dodaj', 'Dodaj']
Wyraz: Reset Customizations, Tłumaczenia: ['Resetuj personalizacje', 'Resetuj personalizacje']
Wyraz: Copied to clipboard., Tłumaczenia: ['Skopiuj do schowka.', 'Skopiuj do schowka.']
Wyraz: Stock Summary, Tłumaczenia: ['Podsumowanie stanów magazynowych', 'Podsumowanie stanów magazynowych', 'Podsumowanie stanów magazynowych', 'Podsumowanie stanów magazynowych', 'Podsumowanie stanów magazynowych']
Wyraz: Save Filter, Tłumaczenia: ['Zapisz filtr', 'Zapisz filtr']
Wyraz: No Data, Tłumaczenia: ['Brak danych', 'Brak danych']
Wyraz: {} Available, Tłumaczenia: ['{} Dostępne', '{} Dostępne', '{} Dostępne']
Wyraz: Today's Events, Tłumaczenia: ['Dzisiejsze wydarzenia', 'Dzisiejsze wydarzenia']
Wyraz: Pick List, Tłumaczenia: ['Lista kompletacyjna', 'Lista kompletacyjna']
Wyraz: City, Tłumaczenia: ['Miasto', 'Miasto']
Wyraz: New, Tłumaczenia: ['Nowe', 'Nowe']
Wyraz: Reports & Masters, Tłumaczenia: ['Raporty i urządzenia główne', 'Raporty i urządzenia główne']
Wyraz: Overview, Tłumaczenia: ['Przegląd', 'Przegląd']
Wyraz: Not Saved, Tłumaczenia: ['Nie zapisane', 'Nie zapisane']
Wyraz: Create your first {0}, Tłumaczenia: ['Utwórz swój pierwszy {0}', 'Utwórz swój pierwszy {0}']
Wyraz: required in table, Tłumaczenia: ['wymagane w tabeli', 'wymagane w tabeli']
Wyraz: Help, Tłumaczenia: ['Pomoc', 'Pomoc']
Wyraz: created, Tłumaczenia: ['Utworzył(a)', 'Utworzył(a)']
Wyraz: Add a tag ..., Tłumaczenia: ['Dodaj tag ...', 'Dodaj tag ...']
Wyraz: Between, Tłumaczenia: ['Pomiedzy', 'Pomiedzy']
Wyraz: Mandatory fields, Tłumaczenia: ['Pola obowiązkowe', 'Pola obowiązkowe']
Wyraz: Jump to field, Tłumaczenia: ['Przeskocz do pola', 'Przeskocz do pola']
Wyraz: Required By, Tłumaczenia: ['Wymagane do', 'Wymagane do', 'Wymagane do']
Wyraz: Download, Tłumaczenia: ['Pobierz', 'Pobierz']
Wyraz: BOM Stock Report, Tłumaczenia: ['Raport o zapasach BOM', 'Raport o zapasach BOM']
Wyraz: changed value of, Tłumaczenia: ['zmienił wartość', 'zmienił wartość']
Wyraz: Reload, Tłumaczenia: ['Przeładuj', 'Przeładuj']
Wyraz: Allow Sales Order Creation For Expired Quotation, Tłumaczenia: ['Zezwalaj na tworzenie zamówień sprzedaży dla wygasłych ofert', 'Zezwalaj na tworzenie zamówień sprzedaży dla wygasłych ofert']
Wyraz: No Stock Available Currently, Tłumaczenia: ['Obecnie brak dostępnych zapasów', 'Obecnie brak dostępnych zapasów']
Wyraz: List Settings, Tłumaczenia: ['Ustawienia listy', 'Ustawienia listy']
Wyraz: Is Milestone, Tłumaczenia: ['Jest kamieniem milowym', 'Jest kamieniem milowym']
Wyraz: Created On, Tłumaczenia: ['Utworzone dnia', 'Utworzone dnia']
Wyraz: Mandatory fields required in table, Tłumaczenia: ['Pola obowiązkowe wymagane w tabeli', 'Pola obowiązkowe wymagane w tabeli']
Wyraz: Unit of Measure (UOM), Tłumaczenia: ['Jednostka miary (JM)', 'Jednostka miary (JM)']
Wyraz: Show Tags, Tłumaczenia: ['Pokaż tagi', 'Pokaż tagi']
Wyraz: List View, Tłumaczenia: ['Widok listy', 'Widok listy', 'Widok listy', 'Widok listy']
Wyraz: Tags, Tłumaczenia: ['Tagi', 'Tagi']
Wyraz: Your Shortcuts, Tłumaczenia: ['Twoje skróty', 'Twoje skróty']
Wyraz: Customize, Tłumaczenia: ['Dostosowanie', 'Dostosowanie']
Wyraz: Add a comment, Tłumaczenia: ['Dodaj komentarz', 'Dodaj komentarz']
Wyraz: Save, Tłumaczenia: ['Zapisz', 'Zapisz']
Wyraz: Share URL, Tłumaczenia: ['Udostępnij adres URL', 'Udostępnij adres URL']
Wyraz: Enabled, Tłumaczenia: ['Włączone', 'Włączone']
Wyraz: Filter, Tłumaczenia: ['Filtr', 'Filtr']
Wyraz: Serial & Batch Item, Tłumaczenia: ['Pozycja serii i partii', 'Pozycja serii i partii']
Wyraz: Notifications, Tłumaczenia: ['Powiadomienia', 'Powiadomienia']
Wyraz: No Upcoming Events, Tłumaczenia: ['Brak nadchodzących wydarzeń', 'Brak nadchodzących wydarzeń']
